date ,Organisme ,DCD.tot,DCD75+,DCD75-
26/06/2013,CH de Wissembourg,0,0,0
23/06/2013,CH de Wissembourg,0,0,0
22/06/2013,CH de Wissembourg,0,0,0
21/06/2013,CH de Wissembourg,0,0,0
20/06/2013,CH de Wissembourg,0,0,0
19/06/2013,CH de Wissembourg,0,0,0
18/06/2013,CH de Wissembourg,0,0,0
17/06/2013,CH de Wissembourg,0,0,0
8/06/2013,CH de Wissembourg,0,0,0
7/06/2013,CH de Wissembourg,0,0,0
5/06/2013,CH de Wissembourg,1,1,0
4/06/2013,CH de Wissembourg,0,0,0
3/06/2013,CH de Wissembourg,1,1,0
26/05/2013,CH de Wissembourg,0,0,0
25/05/2013,CH de Wissembourg,0,0,0
24/05/2013,CH de Wissembourg,0,0,0
16/05/2013,CH de Wissembourg,0,0,0
15/05/2013,CH de Wissembourg,0,0,0
14/05/2013,CH de Wissembourg,0,0,0
13/05/2013,CH de Wissembourg,0,0,0
12/05/2013,CH de Wissembourg,0,0,0
10/05/2013,CH de Wissembourg,0,0,0
9/05/2013,CH de Wissembourg,0,0,0
8/05/2013,CH de Wissembourg,0,0,0
5/05/2013,CH de Wissembourg,0,0,0
4/05/2013,CH de Wissembourg,0,0,0
3/05/2013,CH de Wissembourg,0,0,0
30/04/2013,CH de Wissembourg,0,0,0
29/04/2013,CH de Wissembourg,0,0,0
25/04/2013,CH de Wissembourg,0,0,0
24/04/2013,CH de Wissembourg,0,0,0
23/04/2013,CH de Wissembourg,0,0,0
22/04/2013,CH de Wissembourg,0,0,0
14/04/2013,CH de Wissembourg,0,0,0
13/04/2013,CH de Wissembourg,0,0,0
12/04/2013,CH de Wissembourg,0,0,0
8/04/2013,CH de Wissembourg,0,0,0
26/03/2013,CH de Wissembourg,0,0,0
25/03/2013,CH de Wissembourg,0,0,0
23/03/2013,CH de Wissembourg,0,0,0
17/03/2013,CH de Wissembourg,0,0,0
16/03/2013,CH de Wissembourg,0,0,0
15/03/2013,CH de Wissembourg,0,0,0
10/03/2013,CH de Wissembourg,0,0,0
9/03/2013,CH de Wissembourg,0,0,0
8/03/2013,CH de Wissembourg,0,0,0
3/03/2013,CH de Wissembourg,0,0,0
1/03/2013,CH de Wissembourg,0,0,0
21/02/2013,CH de Wissembourg,0,0,0
20/02/2013,CH de Wissembourg,0,0,0
18/02/2013,CH de Wissembourg,0,0,0
12/02/2013,CH de Wissembourg,0,0,0
11/02/2013,CH de Wissembourg,0,0,0
10/02/2013,CH de Wissembourg,0,0,0
6/02/2013,CH de Wissembourg,0,0,0
5/02/2013,CH de Wissembourg,0,0,0
4/02/2013,CH de Wissembourg,0,0,0
3/02/2013,CH de Wissembourg,0,0,0
2/02/2013,CH de Wissembourg,0,0,0
1/02/2013,CH de Wissembourg,0,0,0
31/01/2013,CH de Wissembourg,0,0,0
30/01/2013,CH de Wissembourg,0,0,0
28/01/2013,CH de Wissembourg,0,0,0
27/01/2013,CH de Wissembourg,0,0,0
26/01/2013,CH de Wissembourg,0,0,0
25/01/2013,CH de Wissembourg,0,0,0
21/01/2013,CH de Wissembourg,0,0,0
20/01/2013,CH de Wissembourg,0,0,0
19/01/2013,CH de Wissembourg,0,0,0
13/01/2013,CH de Wissembourg,0,0,0
12/01/2013,CH de Wissembourg,0,0,0
11/01/2013,CH de Wissembourg,0,0,0
6/01/2013,CH de Wissembourg,0,0,0
5/01/2013,CH de Wissembourg,0,0,0
4/01/2013,CH de Wissembourg,0,0,0
3/01/2013,CH de Wissembourg,0,0,0
2/01/2013,CH de Wissembourg,0,0,0
1/01/2013,CH de Wissembourg,0,0,0
20/06/2013,CHU de Strasbourg (HUS),6,2,4
