date,service,affaires,primaires,secondaires,néonat,TIIH,ASSU,VSAV,conseils,Medecins
31/12/2012,SAMU 67,988,24,7,1,0,112,35,145,120
30/12/2012,SAMU 67,1687,34,3,1,0,98,26,243,403
29/12/2012,SAMU 67,1412,35,6,1,0,128,26,215,204
28/12/2012,SAMU 67,824,40,15,4,0,126,33,73,96
27/12/2012,SAMU 67,1008,42,5,3,0,120,29,95,80
26/12/2012,SAMU 67,1950,52,8,2,0,143,45,292,483
25/12/2012,SAMU 67,1664,56,2,0,0,132,41,223,481
24/12/2012,SAMU 67,1038,46,12,4,0,108,41,122,135
23/12/2012,SAMU 67,1723,41,4,1,0,124,29,291,436
22/12/2012,SAMU 67,1339,59,0,0,0,109,34,129,235
21/12/2012,SAMU 67,867,40,13,1,0,111,28,68,61
20/12/2012,SAMU 67,893,38,13,2,0,104,31,60,63
19/12/2012,SAMU 67,705,52,15,2,0,103,44,64,57
18/12/2012,SAMU 67,714,34,13,1,0,102,21,98,39
17/12/2012,SAMU 67,987,52,10,3,0,98,33,89,77
16/12/2012,SAMU 67,1562,59,6,0,0,111,39,186,299
15/12/2012,SAMU 67,1237,51,10,0,0,114,39,92,178
14/12/2012,SAMU 67,867,37,17,4,0,109,36,68,53
13/12/2012,SAMU 67,748,31,4,2,0,99,34,64,76
12/12/2012,SAMU 67,841,40,12,1,0,90,34,86,55
11/12/2012,SAMU 67,902,45,7,0,0,110,30,77,55
10/12/2012,SAMU 67,1000,37,13,2,0,114,27,66,69
9/12/2012,SAMU 67,1271,47,5,3,0,127,38,187,285
8/12/2012,SAMU 67,1015,36,9,1,0,109,35,133,165
7/12/2012,SAMU 67,851,52,5,0,0,120,38,66,59
6/12/2012,SAMU 67,870,49,8,3,0,108,26,60,49
5/12/2012,SAMU 67,1011,48,9,0,0,103,25,65,42
4/12/2012,SAMU 67,795,38,9,3,0,109,26,66,60
3/12/2012,SAMU 67,807,33,8,0,0,103,25,78,52
2/12/2012,SAMU 67,1205,41,5,0,0,116,28,154,239
1/12/2012,SAMU 67,987,42,9,1,0,111,39,88,134
30/11/2012,SAMU 67,915,52,9,2,0,105,25,50,56
29/11/2012,SAMU 67,954,42,17,1,0,132,31,76,57
28/11/2012,SAMU 67,716,59,7,1,0,95,26,50,60
