date ,Organisme ,service ,moins de 1 an ,plus de 75 ans ,entre 1 et 75 ans ,TOTAL passages ,hospitalisés ,UHCD ,Transferts 
28/02/2013,CCOM,CCOM Chirurgie,0,0,18,18,2,0,0
28/02/2013,CH Altkirch,Upatou,0,8,33,41,7,2,3
28/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,5,0,32,37,6,0,0
28/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,25,94,119,20,6,1
28/02/2013,CH de Guebwiller,UHTCD,0,1,41,42,3,3,2
28/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,13,0,17,30,6,1,1
28/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,25,100,125,13,12,4
28/02/2013,CH de Saverne,S.A.U. (ADULTES),0,16,45,61,16,7,1
28/02/2013,CH de Saverne,PEDIATRIE,2,0,13,15,3,2,0
28/02/2013,CH de Sélestat,Acceuil des urgences,1,14,66,81,15,4,1
28/02/2013,CH de Thann,Urgences,0,5,29,34,3,3,2
28/02/2013,CH de Wissembourg,Urgences ,0,8,26,34,5,2,0
28/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,16,67,83,50,3,1
28/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,1,0,18,19,3,3,0
28/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,10,0,30,40,4,3,0
28/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,16,16,7,0,0
28/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,19,79,98,35,0,0
28/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,7,38,45,6,0,2
28/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,7,57,64,1,11,4
28/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
28/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
27/02/2013,CCOM,CCOM Chirurgie,0,1,17,18,0,0,0
27/02/2013,CH Altkirch,Upatou,0,2,24,26,0,0,2
27/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,4,0,32,36,8,0,0
27/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,21,89,110,21,15,0
27/02/2013,CH de Guebwiller,UHTCD,0,3,33,36,1,2,0
27/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,16,0,15,31,9,1,0
27/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,19,84,103,11,14,1
27/02/2013,CH de Saverne,S.A.U. (ADULTES),0,12,34,46,10,7,2
27/02/2013,CH de Saverne,PEDIATRIE,9,0,21,30,5,2,1
27/02/2013,CH de Sélestat,Acceuil des urgences,2,10,55,67,13,4,2
27/02/2013,CH de Thann,Urgences,0,8,17,25,4,1,0
27/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,20,56,76,48,1,0
27/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,21,0,41,62,10,10,0
